,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type
1,750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5000000,Ready_to_move,New_Property,Apartment
2,950.0,2,2.0,Furnished,other,1.0,15500000,Ready_to_move,Resale,Apartment
5,1300.0,4,3.0,Semi-Furnished,other,1.0,15500000,Ready_to_move,New_Property,Builder_Floor
9,1300.0,4,4.0,Semi-Furnished,other,1.0,15000000,Ready_to_move,New_Property,Builder_Floor
12,630.0,2,2.0,Semi-Furnished,other,1.0,5500000,Ready_to_move,New_Property,Builder_Floor
13,660.0,2,2.0,Semi-Furnished,other,1.0,5000000,Ready_to_move,Resale,Builder_Floor
18,1150.0,3,3.0,Semi-Furnished,other,1.0,25000000,Ready_to_move,Resale,Apartment
19,650.0,2,2.0,Semi-Furnished,other,1.0,6000000,Ready_to_move,Resale,Builder_Floor
21,900.0,3,2.0,Semi-Furnished,other,5.0,4500000,Ready_to_move,Resale,Builder_Floor
24,914.9315,2,2.0,Semi-Furnished,other,1.0,12000000,Ready_to_move,Resale,Builder_Floor
25,1100.0,3,3.0,Furnished,other,1.0,7000000,Ready_to_move,New_Property,Builder_Floor
29,2160.0,4,4.0,Furnished,other,1.0,21000000,Ready_to_move,New_Property,Builder_Floor
31,800.0,2,2.0,Unfurnished,other,1.0,15000000,Ready_to_move,New_Property,Builder_Floor
33,1080.0,3,2.0,Semi-Furnished,other,1.0,22500000,Ready_to_move,New_Property,Builder_Floor
35,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,30000000,Ready_to_move,New_Property,Builder_Floor
36,900.0,2,2.0,Semi-Furnished,other,1.0,13500000,Ready_to_move,New_Property,Apartment
38,1350.0,3,4.0,Unfurnished,other,1.0,25000000,Ready_to_move,Resale,Apartment
39,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,4.0,26000000,Ready_to_move,New_Property,Builder_Floor
40,1650.0,3,3.0,Semi-Furnished,other,1.0,30000000,Ready_to_move,Resale,Builder_Floor
41,1280.0,2,2.0,Furnished,other,1.0,12500000,Ready_to_move,Resale,Builder_Floor
42,1260.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,21000000,Ready_to_move,Resale,Builder_Floor
46,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,26000000,Ready_to_move,New_Property,Builder_Floor
52,1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,2.0,30000000,Ready_to_move,New_Property,Builder_Floor
59,1100.0,3,3.0,Unfurnished,other,1.0,22500000,Ready_to_move,New_Property,Builder_Floor
66,1200.0,3,3.0,Semi-Furnished,other,1.0,15500000,Ready_to_move,Resale,Apartment
70,1400.0,3,3.0,Semi-Furnished,other,1.0,13500000,Ready_to_move,Resale,Apartment
71,1900.0,4,4.0,Semi-Furnished,other,1.0,30000000,Ready_to_move,Resale,Apartment
72,2160.0,4,3.0,Unfurnished,other,1.0,21000000,Ready_to_move,Resale,Apartment
92,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,30000000,Ready_to_move,New_Property,Builder_Floor
93,1260.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,21000000,Ready_to_move,Resale,Builder_Floor
95,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,30000000,Ready_to_move,Resale,Builder_Floor
96,1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,30000000,Ready_to_move,New_Property,Builder_Floor
98,2200.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,30000000,Ready_to_move,Resale,Builder_Floor
108,1000.0,2,2.0,Furnished,Lajpat Nagar 3,1.0,20000000,Ready_to_move,Resale,Apartment
110,1000.0,2,2.0,Furnished,Lajpat Nagar 3,1.0,20000000,Ready_to_move,Resale,Apartment
111,1700.0,3,3.0,Furnished,Lajpat Nagar 3,2.0,19000000,Ready_to_move,Resale,Builder_Floor
112,1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,2.0,26000000,Ready_to_move,Resale,Builder_Floor
113,1350.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,21000000,Ready_to_move,Resale,Builder_Floor
117,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,21000000,Ready_to_move,Resale,Builder_Floor
122,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,4.0,26000000,Ready_to_move,New_Property,Builder_Floor
123,1350.0,2,2.0,Furnished,Lajpat Nagar 2,4.0,12500000,Ready_to_move,Resale,Builder_Floor
124,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,26000000,Ready_to_move,New_Property,Builder_Floor
134,900.0,2,2.0,Furnished,Lajpat Nagar 2,2.0,12500000,Ready_to_move,Resale,Builder_Floor
136,1100.0,2,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,22500000,Ready_to_move,New_Property,Builder_Floor
137,810.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,15500000,Ready_to_move,New_Property,Builder_Floor
138,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,26000000,Ready_to_move,New_Property,Builder_Floor
140,825.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,15000000,Ready_to_move,New_Property,Builder_Floor
142,875.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,15000000,Ready_to_move,New_Property,Builder_Floor
143,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,25000000,Ready_to_move,New_Property,Builder_Floor
146,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,26000000,Ready_to_move,New_Property,Builder_Floor
167,666.0,1,2.0,Furnished,other,1.0,3500000,Ready_to_move,Resale,Builder_Floor
169,1360.0,4,3.0,Semi-Furnished,other,1.0,13500000,Ready_to_move,New_Property,Builder_Floor
170,1550.0,4,3.0,Semi-Furnished,other,1.0,12500000,Ready_to_move,New_Property,Builder_Floor
176,2300.0,4,4.0,Semi-Furnished,other,1.0,20000000,Ready_to_move,New_Property,Builder_Floor
177,1300.0,4,4.0,Semi-Furnished,other,1.0,15000000,Ready_to_move,New_Property,Builder_Floor
181,750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5000000,Ready_to_move,New_Property,Apartment
183,800.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5500000,Ready_to_move,New_Property,Apartment
191,1600.0,3,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,13500000,Ready_to_move,New_Property,Apartment
